Score : 0.9899249 | data/js/programs_50/file1082.js : 3966 - 3966 | ID:css | ['ID:elem', 'LIT:display']
Score : 0.20868096 | data/js/programs_50/file1082.js : 4690 - 4690 | ID:contains | ['ID:target', 'ID:related']
Score : 0.18881962 | data/js/programs_50/file1082.js : 4590 - 4590 | ID:call | ['ID:elem', 'ID:e']
Score : 0.18810761 | data/js/programs_50/file1082.js : 5006 - 5006 | ID:getAll | ['ID:elem', 'LIT:script']
Score : 0.18810761 | data/js/programs_50/file1082.js : 5193 - 5193 | ID:getAll | ['ID:elem', 'LIT:script']
Score : 0.1877656 | data/js/programs_50/file1082.js : 4284 - 4284 | ID:get | ['ID:cur', 'LIT:events']
Score : 0.17981745 | data/js/programs_50/file1082.js : 4558 - 4558 | ID:nodeName | ['ID:target', 'LIT:a']
Score : 0.16935897 | data/js/programs_50/file1082.js : 5176 - 5176 | ID:insertBefore | ['ID:elem', 'ID:nextSibling']
Score : 0.16734073 | data/js/programs_50/file1082.js : 5160 - 5160 | ID:insertBefore | ['ID:elem', 'ID:firstChild']
Score : 0.16095152 | data/js/programs_50/file1082.js : 5325 - 5325 | ID:getAll | ['ID:fragment', 'LIT:script']
Score : 0.15386567 | data/js/programs_50/file1082.js : 2724 - 2724 | ID:attr | ['ID:match', 'ID:context']
Score : 0.15067022 | data/js/programs_50/file1082.js : 5357 - 5357 | ID:contains | ['ID:doc', 'ID:node']
Score : 0.14884257 | data/js/programs_50/file1082.js : 4109 - 4109 | ID:call | ['ID:elem', 'ID:handleObj']
Score : 0.14878172 | data/js/programs_50/file1082.js : 1303 - 1303 | ID:call | ['ID:sortInput', 'ID:b']
Score : 0.14878172 | data/js/programs_50/file1082.js : 1330 - 1330 | ID:call | ['ID:sortInput', 'ID:b']
Score : 0.13023931 | data/js/programs_50/file1108.js : 179 - 179 | ID:splice | ['ID:index', 'LIT:1']
Score : 0.12578595 | data/js/programs_50/file1082.js : 1355 - 1355 | ID:siblingCheck | ['ID:ap', 'ID:bp']
Score : 0.122538656 | data/js/programs_50/file1108.js : 86 - 86 | ID:replace | ['LIT:/&/g', 'LIT:&amp;']
Score : 0.12065464 | data/js/programs_50/file1136.js : 159 - 159 | ID:substr | ['LIT:0', 'LIT:8']
Score : 0.113922656 | data/js/programs_50/file1136.js : 360 - 360 | ID:emit | ['LIT:error', 'ID:reason']
Score : 0.110007346 | data/js/programs_50/file1082.js : 783 - 783 | ID:apply | ['ID:results', 'ID:getElementsByTagName']
Score : 0.109399796 | data/js/programs_50/file1082.js : 4713 - 4713 | ID:access | ['ID:doc', 'ID:fix']
Score : 0.109399796 | data/js/programs_50/file1082.js : 4722 - 4722 | ID:access | ['ID:doc', 'ID:fix']
Score : 0.10434264 | data/js/programs_50/file1082.js : 1303 - 1303 | ID:call | ['ID:sortInput', 'ID:a']
Score : 0.10434264 | data/js/programs_50/file1082.js : 1330 - 1330 | ID:call | ['ID:sortInput', 'ID:a']
Score : 0.10003579 | data/js/programs_50/file1082.js : 5287 - 5287 | ID:remove | ['ID:selector', 'LIT:true']
Score : 0.096899986 | data/js/programs_50/file1082.js : 4950 - 4950 | ID:nodeName | ['ID:context', 'ID:tag']
Score : 0.09491712 | data/js/programs_50/file1082.js : 1754 - 1754 | ID:call | ['ID:seed', 'ID:matched']
Score : 0.0874213 | data/js/programs_50/file1108.js : 86 - 87 | ID:replace | ['LIT:/</g', 'LIT:&lt;']
Score : 0.08725408 | data/js/programs_50/file1098.js : 28 - 28 | ID:spyOn | ['ID:$log', 'LIT:error']
Score : 0.08509064 | data/js/programs_50/file1082.js : 3452 - 3452 | ID:fn | ['ID:elems', 'ID:key']
Score : 0.08509064 | data/js/programs_50/file1082.js : 3463 - 3463 | ID:fn | ['ID:elems', 'ID:key']
Score : 0.07417101 | data/js/programs_50/file1082.js : 2470 - 2470 | ID:apply | ['ID:results', 'ID:seed']
Score : 0.07008302 | data/js/programs_50/file1082.js : 1223 - 1223 | ID:call | ['ID:div', 'LIT:div']
Score : 0.05316417 | data/js/programs_50/file1082.js : 5832 - 5832 | ID:curCSS | ['ID:elem', 'LIT:opacity']
